input_variation,output_class
Say again,REPEAT
Execute again,REPEAT
Run it back,REPEAT
Can you repeat that?,REPEAT
Repeat the previous action,REPEAT
Do the last thing again,REPEAT
Once more,REPEAT
Reiterate,REPEAT
Perform again,REPEAT
Repeat previous command,REPEAT
Again please,REPEAT
Repeat the action,REPEAT
Carry out again,REPEAT
Can you say that again?,REPEAT
Repeat what you just did,REPEAT
Run again,REPEAT
Echo,REPEAT
Do it one more time,REPEAT
Repeat last,REPEAT
Say that once more,REPEAT
Re-execute,REPEAT
Repeat the command,REPEAT
Perform the last action again,REPEAT
Repeat last thing,REPEAT
Tell me again,REPEAT
Do the same thing,REPEAT
Duplicate,REPEAT
Repeat the last instruction,REPEAT
Do that command again,REPEAT
Can you redo that?,REPEAT
Repeat last entry,REPEAT
Go over that again,REPEAT
Try again,REPEAT
Copy last,REPEAT
Repeat the previous instruction,REPEAT
Perform the exact same action,REPEAT
Do it again just like that,REPEAT
Repeat last operation,REPEAT
What did you say?,REPEAT
Do the previous action,REPEAT
Run the command again,REPEAT
Repeat the last thing you did,REPEAT
Replay,REPEAT
Give me that again,REPEAT
Execute previous,REPEAT
Repeat current,REPEAT
Recap,REPEAT
Do it over,REPEAT
Repeat what was said,REPEAT
Repeat that operation,REPEAT
Once more with feeling,REPEAT
Run the last command,REPEAT
Repeat previous step,REPEAT
Can you go over that?,REPEAT
Repeat the last request,REPEAT
Perform the command again,REPEAT
Do the previous task,REPEAT
Say it again please,REPEAT
Re-run,REPEAT
Repeat last entry please,REPEAT
Run the last operation,REPEAT
Repeat the most recent command,REPEAT
Perform that again,REPEAT
Can you reiterate?,REPEAT
Repeat the exact same action,REPEAT
Execute the prior command,REPEAT
Do the prior thing,REPEAT
What was that?,REPEAT
Repeat prior,REPEAT
Repeat previous step please,REPEAT
Run the previous command,REPEAT
Repeat the current command,REPEAT
Tell me that again,REPEAT
Do the last requested action,REPEAT
Go again,REPEAT
Repeat the last,REPEAT
Execute the last command,REPEAT
Do that one more time,REPEAT
Repeat last query,REPEAT
Say it once again,REPEAT
Run the last task,REPEAT
Repeat last input,REPEAT
Do that again,REPEAT
Perform last,REPEAT
Can you repeat the last part?,REPEAT
Repeat the action you just performed,REPEAT
Run that command,REPEAT
Repeat it,REPEAT
Do previous,REPEAT
Repeat the recent action,REPEAT
Execute the most recent command,REPEAT
Do it repeatedly,REPEAT
Repeat the command you just executed,REPEAT
What did you just do?,REPEAT
Repeat,REPEAT
Repeat please,REPEAT
Repeat last command,REPEAT
Do it again,REPEAT
Again,REPEAT
One more time,REPEAT
